date,ticker,open,high,low,close,volume
5/30/2022,FPT,36.94,37.44,36.77,37.31,986450
5/31/2022,FPT,37.35,37.52,36.94,36.94,611860
6/3/2022,FPT,36.85,36.94,36.43,36.43,881810
6/4/2022,FPT,36.43,36.6,36.22,36.27,537160
6/5/2022,FPT,36.43,36.77,36.43,36.52,500100
6/6/2022,FPT,36.68,37.44,36.52,37.27,922740
6/7/2022,FPT,37.52,37.9,37.44,37.86,1304680
6/10/2022,FPT,38.11,38.28,37.52,37.77,1227340
6/11/2022,FPT,37.77,38.19,37.61,37.86,1296500
6/12/2022,FPT,37.86,38.19,37.69,37.73,1284520
6/13/2022,FPT,37.73,37.77,37.27,37.31,856270
6/14/2022,FPT,37.35,37.61,37.19,37.19,559800
6/17/2022,FPT,36.94,37.27,36.77,36.89,1013550
6/18/2022,FPT,37.15,37.23,36.64,36.89,763680
6/19/2022,FPT,37.1,37.44,37.02,37.4,530820
6/20/2022,FPT,37.56,38.02,37.4,38.02,1356030
6/21/2022,FPT,38.11,38.19,37.9,38.02,872460
6/24/2022,FPT,38.02,38.07,37.82,37.82,726160
6/25/2022,FPT,37.69,38.99,37.52,38.95,3269450
6/26/2022,FPT,38.95,38.95,38.61,38.65,1014470
6/27/2022,FPT,38.61,38.61,37.94,38.02,1221860
6/28/2022,FPT,37.98,38.53,37.61,38.11,2479220
7/1/2022,FPT,38.53,39.45,38.44,39.45,2551280
7/2/2022,FPT,39.36,39.78,39.07,39.28,1600280
7/3/2022,FPT,39.11,39.28,38.99,39.2,1275860
7/4/2022,FPT,39.36,39.53,39.2,39.32,1275800
7/5/2022,FPT,39.2,39.36,38.86,39.03,1137770
7/8/2022,FPT,38.95,39.28,38.57,38.78,1303050
7/9/2022,FPT,38.78,39.24,38.61,39.16,992570
7/10/2022,FPT,39.32,39.74,39.2,39.41,1281980
7/11/2022,FPT,39.49,39.57,39.2,39.36,854140
7/12/2022,FPT,39.45,39.74,39.2,39.36,1241970
7/15/2022,FPT,39.32,39.83,39.24,39.62,1176060
7/16/2022,FPT,39.66,40.04,39.57,39.62,1160000
7/17/2022,FPT,39.62,39.78,39.36,39.41,1292630
7/18/2022,FPT,39.36,39.45,39.2,39.2,1035440
7/19/2022,FPT,39.32,40.45,39.28,40.37,2811560
7/22/2022,FPT,40.37,40.75,40.16,40.5,1755780
7/23/2022,FPT,40.62,40.87,40.29,40.87,948550
7/24/2022,FPT,41.33,41.38,40.71,40.71,1952770
7/25/2022,FPT,40.71,41,40.62,40.75,1157100
7/26/2022,FPT,40.62,40.87,40.5,40.87,1043020
7/29/2022,FPT,40.87,40.87,40.37,40.71,1130450
7/30/2022,FPT,40.71,40.71,39.95,40.04,2092220
7/31/2022,FPT,40.04,40.54,39.78,40.54,1111880
8/1/2022,FPT,40.54,40.71,40.37,40.5,965060
8/2/2022,FPT,40.24,41.04,40.08,40.87,1451900
8/5/2022,FPT,40.91,41.71,40.87,41.04,2322100
8/6/2022,FPT,40.37,41.29,40.37,41,1304570
8/7/2022,FPT,41.04,41.67,41,41.67,1246410
8/8/2022,FPT,41.75,42.38,41.75,42.13,2085510
8/9/2022,FPT,42.13,43.05,41.88,42.8,1751680
8/12/2022,FPT,42.8,44.06,42.46,43.8,1817920
8/13/2022,FPT,43.64,44.56,43.3,43.97,2237980
8/14/2022,FPT,44.39,44.98,44.22,44.56,2205370
8/15/2022,FPT,44.3,45.24,43.88,45.24,2223880
8/16/2022,FPT,45.24,47.03,44.39,44.39,4531020
8/19/2022,FPT,44.47,44.98,43.7,44.73,2849780
8/20/2022,FPT,44.81,46.09,44.81,46.09,2277750
8/21/2022,FPT,46.18,46.52,45.58,45.75,1808020
8/22/2022,FPT,45.75,46.35,45.16,45.24,1892640
8/23/2022,FPT,45.33,46.44,44.9,46.44,1868200
8/26/2022,FPT,45.84,46.27,45.75,45.84,1756160
8/27/2022,FPT,46.09,46.35,45.07,45.07,1566370
8/28/2022,FPT,45.24,45.41,44.47,44.47,1537860
8/29/2022,FPT,44.56,45.07,44.3,44.98,972940
8/30/2022,FPT,45.24,45.58,45.16,45.33,708360
9/3/2022,FPT,45.24,46.09,45.24,45.84,1360230
9/4/2022,FPT,45.84,46.27,45.24,45.41,1655300
9/5/2022,FPT,45.58,45.67,44.9,44.9,1243680
9/6/2022,FPT,45.16,45.41,44.64,45.16,1142710
9/9/2022,FPT,45.24,46.44,44.81,45.92,2507800
9/10/2022,FPT,46.27,46.44,45.75,46.09,1731610
9/11/2022,FPT,46.18,46.27,45.58,46.18,1179670
9/12/2022,FPT,46.44,48.23,46.44,48.23,3799910
9/13/2022,FPT,48.23,49,48.06,48.48,2123900
9/16/2022,FPT,48.57,49.51,48.4,49.25,1339560
9/17/2022,FPT,49,49.59,48.74,49.17,1194690
9/18/2022,FPT,49.42,49.42,48.06,48.14,2592910
9/19/2022,FPT,48.31,49.34,47.97,49.34,1432730
9/20/2022,FPT,49.25,50.19,49.17,49.68,1396120
9/23/2022,FPT,49.51,49.76,48.23,48.23,2313090
9/24/2022,FPT,48.14,48.66,47.63,47.97,2537600
9/25/2022,FPT,48.06,49,47.89,49,1442410
9/26/2022,FPT,49.25,49.51,48.83,49.25,992640
9/27/2022,FPT,49.17,50.19,49,49.94,2510520
9/30/2022,FPT,50.62,50.79,49.25,49.25,2199170
10/1/2022,FPT,49.25,49.94,49.17,49.94,1644130
10/2/2022,FPT,49.94,50.02,48.83,48.83,2439020
10/3/2022,FPT,48.31,49,48.14,48.83,2804850
10/4/2022,FPT,49.08,49.08,48.4,48.48,1271210
10/7/2022,FPT,48.48,48.83,47.37,47.37,2371810
10/8/2022,FPT,47.37,47.97,47.12,47.89,1337220
10/9/2022,FPT,48.06,48.66,47.63,48.14,937530
10/10/2022,FPT,48.31,48.66,48.14,48.14,808000
10/11/2022,FPT,48.4,48.57,48.14,48.23,794420
10/14/2022,FPT,48.66,49.68,48.48,49.25,2231030
